Variable:,pr
,"Tanzania, United Republic of",Arusha,Dar-es-salaam,Dodoma,Kigoma,Kilimanjaro,Lindi,Manyara,Mara,Mbeya,Morogoro,Mtwara,"Kaskazini Pemba","Kaskazini Unguja",Pwani,Ruvuma,Singida,"Kusini Pemba","Kusini Unguja",Tabora,Tanga,"Mjini Magharibi",Geita,Iringa,Kagera,Katavi,Mwanza,Njombe,Rukwa,Shinyanga,Simiyu
1959,919.18,670.47,856.07,645.28,1087.60,765.28,1269.68,741.22,923.38,801.40,1030.83,1184.87,1173.80,1050.72,976.16,1063.26,701.15,1173.80,1062.87,853.55,1010.81,1047.40,915.27,759.16,1120.19,987.66,930.80,913.64,892.17,794.62,734.16
1960,960.92,636.43,988.20,560.14,1082.46,892.24,1340.71,691.12,955.93,926.24,1154.11,1100.41,1012.30,999.88,1208.60,1172.67,602.92,1012.30,1044.36,920.02,951.76,1032.00,921.53,764.47,1135.81,1083.59,929.92,1108.29,1000.07,825.83,656.74
1961,1295.30,862.78,1575.45,761.60,1312.55,1187.15,1915.75,889.82,1493.97,987.98,1676.43,1480.43,1483.70,1622.24,1761.32,1573.29,821.67,1483.70,1680.75,1212.93,1420.84,1668.30,1375.34,985.91,1518.35,1269.60,1497.94,1287.93,1199.59,1255.85,1077.07
1962,1096.35,715.32,965.53,639.15,1301.07,803.42,1474.12,701.98,1281.75,966.65,1168.96,1243.37,949.80,951.73,1063.22,1438.04,752.91,949.80,1006.58,1150.25,859.10,991.90,1191.13,856.55,1303.69,1262.68,1306.37,1289.22,1166.97,1113.53,914.77
1963,1254.74,1002.93,1374.47,747.96,1347.68,1146.68,1787.57,955.54,1294.59,1062.36,1548.97,1415.25,1497.30,1459.21,1578.96,1642.15,818.91,1497.30,1478.69,1090.50,1278.32,1454.40,1285.67,983.56,1563.52,1166.36,1277.92,1453.23,1128.77,1147.67,1056.22
1964,1009.59,741.66,1003.34,722.01,1151.30,840.24,1349.89,773.92,1233.80,894.66,1178.70,1083.41,905.20,924.88,1167.03,1104.06,688.45,905.20,955.76,975.20,849.73,940.90,1111.96,838.99,1306.98,1054.42,1226.03,1000.66,898.39,939.38,848.66
1965,987.11,552.52,741.49,630.68,1095.71,720.85,1446.02,597.17,992.95,842.56,1297.09,1343.35,983.00,893.51,1009.55,1385.91,608.15,983.00,824.14,820.71,903.50,805.70,1071.76,859.11,1280.17,1002.51,1096.24,1183.48,1007.59,863.09,712.49
1966,934.07,705.90,1080.65,592.14,1082.60,844.32,1159.00,702.64,1089.72,781.02,1275.89,825.36,1201.20,1247.89,1215.23,1043.07,578.43,1201.20,1258.33,816.56,986.01,1246.40,1037.37,781.74,1278.70,921.75,1066.14,1027.18,887.19,813.17,699.12
1967,1226.14,812.40,1367.14,850.39,1262.41,1229.63,1758.39,927.72,1112.86,999.91,1713.58,1472.90,1392.00,1414.10,1635.03,1484.00,828.65,1392.00,1488.17,1070.62,1344.52,1478.00,1146.43,1158.25,1308.61,1205.69,1191.00,1318.66,1165.14,1045.07,888.27
1968,1220.03,1030.19,1177.18,816.74,1251.57,1477.02,1585.95,1091.28,1402.21,1076.84,1573.37,1235.94,1464.50,1415.54,1434.28,1486.03,861.69,1464.50,1394.72,1017.43,1262.38,1372.80,1254.08,1049.10,1399.08,1127.21,1325.20,1204.75,1094.96,1087.82,1001.94
1969,874.93,571.82,1015.81,447.29,1038.12,783.16,1278.81,563.46,1115.25,705.60,1035.15,1017.16,1061.00,1073.31,1169.37,976.49,504.43,1061.00,1099.72,812.40,965.51,1091.40,1010.63,620.82,1149.53,917.26,1034.10,861.94,892.29,816.60,713.43
1970,1067.95,804.18,828.90,679.89,1239.91,948.48,1291.48,808.07,1155.47,1037.60,1278.94,1116.59,865.60,867.30,1138.07,1285.65,739.67,865.60,913.58,1035.32,915.51,900.50,1189.90,892.07,1236.27,1149.44,1180.39,1279.28,1084.17,1032.43,878.97
1971,938.84,645.49,851.78,568.24,1191.29,930.29,1457.79,676.16,950.24,785.03,1109.71,1289.23,815.40,778.07,984.84,1308.50,577.06,815.40,850.12,789.12,796.72,836.50,986.77,724.74,1159.70,957.11,945.55,999.88,950.86,781.32,615.59
1972,1117.28,772.61,1259.57,721.44,1185.49,1180.15,1675.68,877.39,1131.61,924.55,1446.04,1400.26,1385.30,1354.83,1512.26,1315.34,695.60,1385.30,1395.37,877.47,1356.03,1378.90,1116.32,883.09,1453.64,1041.78,1201.22,1110.03,1048.95,953.12,832.96
1973,940.58,593.94,943.00,564.80,1003.61,736.90,1350.03,629.82,1038.84,763.57,1230.49,1039.29,1020.20,985.44,1223.29,1224.96,608.00,1020.20,980.54,830.78,866.42,970.50,1026.47,723.46,1290.15,901.48,1088.29,997.16,881.43,878.45,744.91
1974,979.86,643.07,884.37,531.14,1189.49,812.58,1472.05,604.98,991.52,845.86,1096.18,1248.88,853.30,841.27,1020.93,1343.61,637.63,853.30,865.46,1016.05,682.32,857.70,984.93,744.74,1135.66,1094.22,1014.71,1294.26,998.85,907.78,716.14
1975,913.05,513.11,1036.08,496.26,1019.22,707.70,1406.53,522.17,980.09,779.76,1141.89,1069.29,867.80,882.90,1196.40,1232.66,524.67,867.80,1022.06,738.86,839.57,1013.70,1011.33,719.95,1335.89,900.50,1110.56,1004.29,934.87,771.01,663.49
