ISO3,Country,Region,Service Type,Year,Coverage,Service level
TZA,United Republic of Tanzania,Dar Es Salaam,Drinking water,2012,4.42171,Unimproved
TZA,United Republic of Tanzania,Dodoma,Sanitation,2012,46.39194,Unimproved
TZA,United Republic of Tanzania,Dodoma,Sanitation,2012,15.97591,At least basic
TZA,United Republic of Tanzania,Dodoma,Sanitation,2012,18.07448,Limited service
TZA,United Republic of Tanzania,Dodoma,Drinking water,2012,19.07217,Limited service
TZA,United Republic of Tanzania,Dodoma,Drinking water,2012,27.33214,At least basic
TZA,United Republic of Tanzania,Dodoma,Sanitation,2012,19.55768,Open defecation
TZA,United Republic of Tanzania,Dodoma,Drinking water,2012,48.79825,Unimproved
TZA,United Republic of Tanzania,Dodoma,Drinking water,2012,4.79744,Surface water
TZA,United Republic of Tanzania,Geita,Drinking water,2012,53.6402,Unimproved
TZA,United Republic of Tanzania,Geita,Sanitation,2012,19.46577,Open defecation
TZA,United Republic of Tanzania,Geita,Sanitation,2012,7.01013,At least basic
TZA,United Republic of Tanzania,Geita,Drinking water,2012,7.11738,Limited service
TZA,United Republic of Tanzania,Geita,Drinking water,2012,27.60154,At least basic
TZA,United Republic of Tanzania,Geita,Drinking water,2012,11.64089,Surface water
TZA,United Republic of Tanzania,Geita,Sanitation,2012,3.71662,Limited service
TZA,United Republic of Tanzania,Geita,Sanitation,2012,69.80748,Unimproved
TZA,United Republic of Tanzania,Iringa,Drinking water,2012,1.16736,Limited service
TZA,United Republic of Tanzania,Iringa,Drinking water,2012,43.30663,Unimproved
TZA,United Republic of Tanzania,Iringa,Sanitation,2012,3.63771,Limited service
TZA,United Republic of Tanzania,Iringa,Sanitation,2012,0.00407,Open defecation
TZA,United Republic of Tanzania,Iringa,Sanitation,2012,26.89619,At least basic
TZA,United Republic of Tanzania,Iringa,Drinking water,2012,22.6563,At least basic
TZA,United Republic of Tanzania,Iringa,Drinking water,2012,32.86971,Surface water
TZA,United Republic of Tanzania,Iringa,Sanitation,2012,69.46203,Unimproved
TZA,United Republic of Tanzania,Kagera,Drinking water,2012,15.39743,Limited service
TZA,United Republic of Tanzania,Kagera,Drinking water,2012,36.78759,Surface water
TZA,United Republic of Tanzania,Kagera,Sanitation,2012,7.4333,Open defecation
TZA,United Republic of Tanzania,Kagera,Sanitation,2012,73.38089,Unimproved
TZA,United Republic of Tanzania,Kagera,Drinking water,2012,29.49304,At least basic
TZA,United Republic of Tanzania,Kagera,Sanitation,2012,3.57445,Limited service
TZA,United Republic of Tanzania,Kagera,Drinking water,2012,18.32194,Unimproved
TZA,United Republic of Tanzania,Kagera,Sanitation,2012,15.61137,At least basic
TZA,United Republic of Tanzania,Kaskazini,Drinking water,2012,2.29172,Unimproved
TZA,United Republic of Tanzania,Kaskazini,Sanitation,2012,8.02086,Limited service
TZA,United Republic of Tanzania,Kaskazini,Drinking water,2012,10.24671,Limited service
TZA,United Republic of Tanzania,Kaskazini,Drinking water,2012,0.12056,Surface water
TZA,United Republic of Tanzania,Kaskazini,Sanitation,2012,64.94308,At least basic
TZA,United Republic of Tanzania,Kaskazini,Sanitation,2012,4.40727,Unimproved
TZA,United Republic of Tanzania,Kaskazini,Sanitation,2012,22.62879,Open defecation
TZA,United Republic of Tanzania,Kaskazini,Drinking water,2012,87.34101,At least basic
TZA,United Republic of Tanzania,Kaskazini Pemba,Sanitation,2012,4.8414,Unimproved
TZA,United Republic of Tanzania,Kaskazini Pemba,Drinking water,2012,7.8234,Unimproved
TZA,United Republic of Tanzania,Kaskazini Pemba,Sanitation,2012,37.46719,At least basic
TZA,United Republic of Tanzania,Kaskazini Pemba,Drinking water,2012,1.1983,Limited service
TZA,United Republic of Tanzania,Kaskazini Pemba,Drinking water,2012,0,Surface water
TZA,United Republic of Tanzania,Kaskazini Pemba,Sanitation,2012,51.88287,Open defecation
TZA,United Republic of Tanzania,Kaskazini Pemba,Drinking water,2012,90.97831,At least basic
TZA,United Republic of Tanzania,Kaskazini Pemba,Sanitation,2012,5.80854,Limited service
TZA,United Republic of Tanzania,Katavi,Sanitation,2012,22.40977,Open defecation
TZA,United Republic of Tanzania,Katavi,Drinking water,2012,10.0577,Limited service
TZA,United Republic of Tanzania,Katavi,Drinking water,2012,27.72546,Unimproved
TZA,United Republic of Tanzania,Katavi,Drinking water,2012,30.1921,Surface water
TZA,United Republic of Tanzania,Katavi,Sanitation,2012,67.24421,Unimproved
TZA,United Republic of Tanzania,Katavi,Sanitation,2012,7.85498,At least basic
TZA,United Republic of Tanzania,Katavi,Sanitation,2012,2.49104,Limited service
TZA,United Republic of Tanzania,Katavi,Drinking water,2012,32.02474,At least basic
TZA,United Republic of Tanzania,Kigoma,Drinking water,2012,15.55988,Limited service
TZA,United Republic of Tanzania,Kigoma,Sanitation,2012,5.76185,Open defecation
TZA,United Republic of Tanzania,Kigoma,Sanitation,2012,19.41403,At least basic
TZA,United Republic of Tanzania,Kigoma,Drinking water,2012,61.85246,At least basic
TZA,United Republic of Tanzania,Kigoma,Drinking water,2012,12.59565,Surface water
TZA,United Republic of Tanzania,Kigoma,Sanitation,2012,9.1449,Limited service
TZA,United Republic of Tanzania,Kigoma,Sanitation,2012,65.67922,Unimproved
TZA,United Republic of Tanzania,Kigoma,Drinking water,2012,9.99201,Unimproved
TZA,United Republic of Tanzania,Kilimanjaro,Drinking water,2012,3.48921,Surface water
TZA,United Republic of Tanzania,Kilimanjaro,Drinking water,2012,8.39228,Unimproved
TZA,United Republic of Tanzania,Kilimanjaro,Sanitation,2012,30.56693,Unimproved
TZA,United Republic of Tanzania,Kilimanjaro,Sanitation,2012,0.62874,Open defecation
TZA,United Republic of Tanzania,Kilimanjaro,Drinking water,2012,7.40196,Limited service
TZA,United Republic of Tanzania,Kilimanjaro,Drinking water,2012,80.71656,At least basic
TZA,United Republic of Tanzania,Kilimanjaro,Sanitation,2012,12.44188,Limited service
TZA,United Republic of Tanzania,Kilimanjaro,Sanitation,2012,56.36245,At least basic
TZA,United Republic of Tanzania,Kusini,Sanitation,2012,5.41056,Open defecation
TZA,United Republic of Tanzania,Kusini,Sanitation,2012,5.69507,Unimproved
TZA,United Republic of Tanzania,Kusini,Sanitation,2012,82.26744,At least basic
TZA,United Republic of Tanzania,Kusini,Drinking water,2012,4.06174,Unimproved
TZA,United Republic of Tanzania,Kusini,Drinking water,2012,0,Surface water
TZA,United Republic of Tanzania,Kusini,Drinking water,2012,91.5251,At least basic
TZA,United Republic of Tanzania,Kusini,Sanitation,2012,6.62693,Limited service
TZA,United Republic of Tanzania,Kusini,Drinking water,2012,4.41316,Limited service
TZA,United Republic of Tanzania,Kusini Pemba,Drinking water,2012,1.26964,Limited service
TZA,United Republic of Tanzania,Kusini Pemba,Drinking water,2012,96.39518,At least basic
TZA,United Republic of Tanzania,Kusini Pemba,Sanitation,2012,51.47931,At least basic
TZA,United Republic of Tanzania,Kusini Pemba,Sanitation,2012,33.72084,Open defecation
TZA,United Republic of Tanzania,Kusini Pemba,Drinking water,2012,0,Surface water
TZA,United Republic of Tanzania,Kusini Pemba,Sanitation,2012,8.35065,Unimproved
TZA,United Republic of Tanzania,Kusini Pemba,Drinking water,2012,2.33517,Unimproved
TZA,United Republic of Tanzania,Kusini Pemba,Sanitation,2012,6.4492,Limited service
TZA,United Republic of Tanzania,Lindi,Drinking water,2012,29.48056,At least basic
TZA,United Republic of Tanzania,Lindi,Sanitation,2012,4.20219,Limited service
TZA,United Republic of Tanzania,Lindi,Sanitation,2012,12.2984,Open defecation
TZA,United Republic of Tanzania,Lindi,Drinking water,2012,32.9475,Unimproved
TZA,United Republic of Tanzania,Lindi,Drinking water,2012,21.83691,Surface water
TZA,United Republic of Tanzania,Lindi,Sanitation,2012,25.93847,At least basic
TZA,United Republic of Tanzania,Lindi,Drinking water,2012,15.73502,Limited service
TZA,United Republic of Tanzania,Lindi,Sanitation,2012,57.56094,Unimproved
TZA,United Republic of Tanzania,Manyara,Sanitation,2012,4.6047,At least basic
TZA,United Republic of Tanzania,Manyara,Drinking water,2012,33.04035,At least basic
TZA,United Republic of Tanzania,Manyara,Drinking water,2012,38.27676,Surface water
TZA,United Republic of Tanzania,Manyara,Sanitation,2012,23.13686,Open defecation
TZA,United Republic of Tanzania,Manyara,Drinking water,2012,14.45521,Unimproved
TZA,United Republic of Tanzania,Manyara,Drinking water,2012,14.22768,Limited service
TZA,United Republic of Tanzania,Manyara,Sanitation,2012,1.65147,Limited service
TZA,United Republic of Tanzania,Manyara,Sanitation,2012,70.60697,Unimproved
TZA,United Republic of Tanzania,Mara,Drinking water,2012,20.71641,Surface water
TZA,United Republic of Tanzania,Mara,Sanitation,2012,14.28488,At least basic
TZA,United Republic of Tanzania,Mara,Drinking water,2012,44.51956,Unimproved
TZA,United Republic of Tanzania,Mara,Drinking water,2012,24.30006,At least basic
TZA,United Republic of Tanzania,Mara,Sanitation,2012,37.58569,Open defecation
TZA,United Republic of Tanzania,Mara,Sanitation,2012,35.22938,Unimproved
TZA,United Republic of Tanzania,Mara,Sanitation,2012,12.90005,Limited service
TZA,United Republic of Tanzania,Mara,Drinking water,2012,10.46398,Limited service
TZA,United Republic of Tanzania,Mbeya,Drinking water,2012,15.42053,Surface water
TZA,United Republic of Tanzania,Mbeya,Drinking water,2012,55.82677,At least basic
TZA,United Republic of Tanzania,Mbeya,Sanitation,2012,7.38815,Limited service
TZA,United Republic of Tanzania,Mbeya,Sanitation,2012,26.81947,At least basic
TZA,United Republic of Tanzania,Mbeya,Sanitation,2012,4.51487,Open defecation
TZA,United Republic of Tanzania,Mbeya,Drinking water,2012,9.2394,Limited service
TZA,United Republic of Tanzania,Mbeya,Drinking water,2012,19.5133,Unimproved
TZA,United Republic of Tanzania,Mbeya,Sanitation,2012,61.27751,Unimproved
TZA,United Republic of Tanzania,Mjini Magharibi,Drinking water,2012,8.56722,Limited service
TZA,United Republic of Tanzania,Mjini Magharibi,Drinking water,2012,91.05161,At least basic
TZA,United Republic of Tanzania,Mjini Magharibi,Drinking water,2012,0.38117,Unimproved
TZA,United Republic of Tanzania,Mjini Magharibi,Sanitation,2012,5.86726,Unimproved
TZA,United Republic of Tanzania,Mjini Magharibi,Sanitation,2012,3.64372,Open defecation
TZA,United Republic of Tanzania,Mjini Magharibi,Sanitation,2012,12.63069,Limited service
TZA,United Republic of Tanzania,Mjini Magharibi,Drinking water,2012,0,Surface water
TZA,United Republic of Tanzania,Mjini Magharibi,Sanitation,2012,77.85834,At least basic
TZA,United Republic of Tanzania,Morogoro,Sanitation,2012,54.53503,Unimproved
TZA,United Republic of Tanzania,Morogoro,Sanitation,2012,24.07407,At least basic
TZA,United Republic of Tanzania,Morogoro,Sanitation,2012,9.0517,Open defecation
TZA,United Republic of Tanzania,Morogoro,Sanitation,2012,12.3392,Limited service
TZA,United Republic of Tanzania,Morogoro,Drinking water,2012,51.60368,At least basic
TZA,United Republic of Tanzania,Morogoro,Drinking water,2012,20.4727,Unimproved
TZA,United Republic of Tanzania,Morogoro,Drinking water,2012,11.25099,Limited service
TZA,United Republic of Tanzania,Morogoro,Drinking water,2012,16.67263,Surface water
